type,reddish Sandstone,greyish Sandstone,Quartz,Amphibole,Pyroxene,Scoria,Pumice,Sanidine,Leucite,Mica
WD1,4,24,18,1,28,5,2,15,0,3
Tuffwall,6,26,10,2,32,6,1,14,0,3
