sample,reddish Sandstone,greyish Sandstone,Quartz,Amphibole,Pyroxene,Scoria,Pumice,Sanidine,Leucite,Mica
W1a,31,5,6,4,38,3,0,7,0,6
W1a,3,39,5,1,38,5,0,4,0,5
W1a,2,33,7,1,39,2,0,8,0,8
W1b,3,32,4,3,42,5,0,4,0,7
W2a,2,40,5,0,26,6,0,20,0,1
W2b,2,26,12,0,30,2,1,26,0,1
W2c,1,13,16,2,24,6,0,36,0,2
W2d,3,19,11,0,31,3,2,31,0,0
W2e,7,34,14,1,23,0,0,20,0,1
W2f,1,43,7,0,28,2,6,13,0,0
W2g,6,29,9,2,18,14,0,20,0,2
W2h,5,19,6,0,40,10,0,19,0,1
W2i,4,23,10,2,25,5,3,25,0,3
W2j,1,22,6,3,48,10,0,5,0,5
W3a,21,34,3,6,18,11,0,2,0,5
