Sample Name (depth [m]),SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,SrO,BaO,NiO,Total
IIIII-12 (64.70),42.41,2.00,4.47,b.d.l.,9.64,0.15,25.09,14.61,0.21,b.d.l.,b.d.l.,b.d.l.,0.08,98.69
IIIII-13 (64.92),39.77,2.34,18.19,b.d.l.,6.26,0.15,4.91,13.55,5.35,2.95,b.d.l.,0.10,b.d.l.,93.59
IIIII-14 (65.97),44.91,2.59,7.17,b.d.l.,9.22,0.23,10.99,22.31,0.78,b.d.l.,b.d.l.,b.d.l.,b.d.l.,98.24
IIIII-15 (66.80),46.09,2.16,6.57,0.06,7.06,0.10,12.69,23.04,0.49,b.d.l.,b.d.l.,0.03,b.d.l.,98.30
IIIII-16 (67.05),46.19,2.16,6.41,0.02,7.34,0.11,12.50,22.88,0.54,b.d.l.,b.d.l.,b.d.l.,b.d.l.,98.20
IIIII-17 (67.58),44.75,2.78,7.46,b.d.l.,8.04,0.12,11.87,22.78,0.55,b.d.l.,b.d.l.,b.d.l.,b.d.l.,98.39
IIIII-18 (69.38),44.86,2.50,7.51,b.d.l.,8.17,0.15,11.42,22.78,0.67,b.d.l.,b.d.l.,b.d.l.,b.d.l.,98.09
IIIII-19 (69.56),46.07,2.07,6.92,0.02,7.38,0.12,12.45,22.66,0.59,b.d.l.,b.d.l.,b.d.l.,b.d.l.,98.33
IIIII-20 (70.00),45.45,2.09,6.92,b.d.l.,9.00,0.17,11.05,22.41,0.88,b.d.l.,b.d.l.,0.03,b.d.l.,98.01
IIIIII-21 (70.07),44.67,2.58,7.51,b.d.l.,9.00,0.21,11.05,22.35,0.79,b.d.l.,b.d.l.,b.d.l.,b.d.l.,98.18
IIIIII-22 (74.70),41.76,3.05,9.66,b.d.l.,10.71,0.24,9.03,22.57,0.75,b.d.l.,b.d.l.,0.03,b.d.l.,97.83
IIIIII-23 (75.30),45.62,2.48,6.73,b.d.l.,8.22,0.15,11.83,23.01,0.62,b.d.l.,b.d.l.,b.d.l.,b.d.l.,98.66
IIIIII-24 (81.82),41.76,3.13,10.25,b.d.l.,11.92,0.27,7.98,21.91,1.11,b.d.l.,b.d.l.,b.d.l.,b.d.l.,98.35
"IIIIII-25 (86.78, WDT)",46.13,2.02,6.55,b.d.l.,8.57,0.17,11.58,22.53,0.84,b.d.l.,b.d.l.,b.d.l.,b.d.l.,98.44
IIIIII-26 (12.70),45.46,2.53,6.96,b.d.l.,8.04,0.14,11.87,22.96,0.56,b.d.l.,b.d.l.,0.03,b.d.l.,98.58
"IIIIII-27 (12.95, JWT)",36.24,4.29,15.86,b.d.l.,7.72,0.06,19.28,0.03,0.51,9.64,b.d.l.,0.37,0.03,94.07
IIIIII-28 (14.82),44.32,2.73,8.09,b.d.l.,9.07,0.14,10.80,22.87,0.71,b.d.l.,b.d.l.,b.d.l.,b.d.l.,98.74
"IIIIII-29 (20.20, GLT)",44.80,2.49,7.76,b.d.l.,8.09,0.11,11.59,22.74,0.63,b.d.l.,b.d.l.,0.04,b.d.l.,98.28
"IIIIII-30 (86.43, HBT)",46.23,2.15,6.63,b.d.l.,8.75,0.19,11.41,22.74,0.74,b.d.l.,b.d.l.,0.03,b.d.l.,98.89
"IIIIII-L1 (20.20, GLT)",54.33,0.02,22.85,b.d.l.,0.59,0.01,0.02,0.01,0.98,20.00,b.d.l.,b.d.l.,b.d.l.,98.79
"IIIIII-L2 (86.43, HBT)",54.33,0.13,21.99,b.d.l.,1.28,0.09,0.04,0.35,1.95,18.00,b.d.l.,b.d.l.,b.d.l.,98.17
