sample,reddish Sandstone,greyish Sandstone,Quartz,Amphibole,Pyroxene,Scoria,Pumice,Sanidine,Leucite,Mica
R1,6,8,7,8,9,39,5,15,0,3
R2,11,8,5,5,15,40,3,13,0,0
R3,6,5,4,5,17,44,6,11,0,2
R4,4,16,7,4,21,25,3,18,0,2
